HolderAddress,Balance,PendingBalanceUpdate,Date,Change
0x019fd9abc9caeb476d7afa68bb675518c6be17b7,0.0,,2026-01-14 21:28,
0xad3e02de4679d04e4c293244d707285f81d34383,0.0,,2026-01-14 21:28,
0xaec085e5a5ce8d96a7bdd3eb3a62445d4f6ce703,3734054561.190514,,2026-01-14 21:28,
0x1172a9b08573dec93cd53132875046f8e0770caf,0.0,,2026-01-14 21:28,
0x000000000000000000000000000000000000dead,3037585222.01813,,2026-01-14 21:28,
0x2813bbc5744faf12f2cc0bcd9a0376be41a5b0f4,2666305257.2263107,,2026-01-14 21:28,
0x1ae824a5bf871d8ab4f1165fdce36978c085dce4,2655745885.4860964,,2026-01-14 21:28,
0x0b18aa565a6adbd994e8d69c17a4a5c8791b2cf5,0.0,,2026-01-14 21:28,
0x6f7245140efd1a4a5b24fc981178ef62279e1c1b,0.0,,2026-01-14 21:28,
0x301f742573c76ee107cb8e263f2d5c009ecbfb28,0.0,,2026-01-14 21:28,
0x6ec2e2be14e4dcc5c93e61fd221487b8ba1b179f,1300000000.0,,2026-01-14 21:28,
0xb46ddd09146cf8c59c275f4cf277e8de6868f838,0.0,,2026-01-14 21:28,
0x279cd2b30740afd8802a2fac25dae77e5ce5d6ce,0.0,,2026-01-14 21:28,
0x84780cb65b8be101165cc3f6981705a6400c5c72,1083989645.8257098,,2026-01-14 21:28,
0x7e90590542e36df645696f161abdc526bfb6d247,1067278163.2390552,,2026-01-14 21:28,
0x58918db69302e21e0478c97f20de9153b9ee92d6,0.0,,2026-01-14 21:28,
0x801c261cb2827bcbe3c831678c063f1691b593cf,0.0,,2026-01-14 21:28,
0x195486f44346a01120a7cf99425669f6e7fbefc4,0.0,,2026-01-14 21:28,
0x90a5e11ee69e32b1991965efc7b1b83e235c23bc,0.0,,2026-01-14 21:28,
0x82836bd22f6e52c0fbc83092da0900a51c5daae1,984214436.9991496,,2026-01-14 21:28,
0xa495c8d282875beb08dec4fa67e4c2cef3b51680,777005734.0075297,,2026-01-14 21:28,
0xbd3961dacb800fc8b9b60344841d56fd3c798b5b,770937319.3895202,,2026-01-14 21:28,
0x7e2dfb80eb68f9946f45d7f0ea7c89cd26660dba,0.0,,2026-01-14 21:28,
0x1985ea6e9c68e1c272d8209f3b478ac2fdb25c87,698392285.6255533,,2026-01-14 21:28,
0x6fcad30523f0f8648984f3c1b4318e2a16e16824,0.0,,2026-01-14 21:28,
